rank,finalWorth,category,personName,age,country,source,industries,organization,selfMade,gender,firstName,gdp_country,wealth_per_capita,age_at_2024,cpi_change_percentage,education_enrollment_ratio,tax_revenue_percentage_gdp,total_tax_rate_percentage
636,4300.0,Finance & Investments,Juan Carlos Escotet,63.0,Spain,Banking,Finance & Investments,,1,M,Juan Carlos,"$1,394,116,310,769 ",9.134014494321522e-05,65.0,0.6308579668348955,86.56280428432328,0.33023255813953484,1.0930232558139534
636,4300.0,Finance & Investments,Jose E. Feliciano,49.0,United States,Private equity,Finance & Investments,,1,M,Jose E.,"$21,427,700,000,000 ",1.3100189644133744e-05,51.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
636,4300.0,Healthcare,Hu Kaijun,61.0,China,Pharmaceuticals,Healthcare,,1,M,Kaijun,"$19,910,000,000,000 ",3.076449776957391e-06,62.0,2.318516149664215,50.49900199600798,0.2186046511627907,1.3767441860465117
636,4300.0,Logistics,Johnelle Hunt,91.0,United States,Trucking,Logistics,,1,F,Johnelle,"$21,427,700,000,000 ",1.3100189644133744e-05,92.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
636,4300.0,Food & Beverage,Marian Ilitch,90.0,United States,Little Caesars Pizza,Food & Beverage,,1,F,Marian,"$21,427,700,000,000 ",1.3100189644133744e-05,91.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
636,4300.0,Diversified,Daryl Katz,61.0,Canada,Pharmacies,Diversified,Katz Group,1,M,Daryl,"$1,736,425,629,520 ",0.00011624140918541237,63.0,1.6272696128811235,68.28543111992072,0.2976744186046512,0.569767441860465
636,4300.0,Metals & Mining,Andrei Kozitsyn,62.0,Russia,Metals,Metals & Mining,,1,M,Andrei,"$1,699,876,578,871 ",2.978385200584027e-05,64.0,2.4896265560165975,79.82456140350878,0.2651162790697674,1.0744186046511628
636,4300.0,Finance & Investments,Timur Kulibaev,56.0,Kazakhstan,Banking,Finance & Investments,,1,M,Timur,"$180,161,741,180 ",0.00023225754877543558,58.0,2.8454172366621067,59.099616858237546,0.2720930232558139,0.6604651162790697
636,4300.0,Finance & Investments,Dinara Kulibaeva,55.0,Kazakhstan,Banking,Finance & Investments,,0,F,Dinara,"$180,161,741,180 ",0.00023225754877543558,57.0,2.8454172366621067,59.099616858237546,0.2720930232558139,0.6604651162790697
636,4300.0,Real Estate,Ian Livingstone,60.0,,Real estate,Real Estate,,1,M,Ian,,,62.0,,,,
636,4300.0,Real Estate,Richard Livingstone,58.0,,Real estate,Real Estate,,1,M,Richard,,,60.0,,,,
636,4300.0,Food & Beverage,Gwendolyn Sontheim Meyer,61.0,United States,Cargill,Food & Beverage,,0,F,Gwendolyn Sontheim,"$21,427,700,000,000 ",1.3100189644133744e-05,63.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
636,4300.0,Real Estate,Jay Paul,75.0,United States,Real estate,Real Estate,,1,M,Jay,"$21,427,700,000,000 ",1.3100189644133744e-05,77.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
636,4300.0,Diversified,Pham Nhat Vuong,54.0,Vietnam,Diversified,Diversified,,1,M,Nhat Vuong,"$261,921,244,843 ",4.457709019954426e-05,56.0,1.7123287671232876,25.76853526220615,0.44418604651162796,0.8744186046511628
636,4300.0,Healthcare,Jon Stryker,64.0,United States,Medical equipment,Healthcare,,0,M,Jon,"$21,427,700,000,000 ",1.3100189644133744e-05,66.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
636,4300.0,Finance & Investments,Daniel Tsai,66.0,Taiwan,Finance,Finance & Investments,,0,M,Daniel,,,68.0,,,,
636,4300.0,Finance & Investments,Richard Tsai,65.0,Taiwan,Finance,Finance & Investments,,0,M,Richard,,,67.0,,,,
636,4300.0,Technology,Frank Wang,42.0,China,Drones,Technology,DJI Technology Co.,1,M,Frank,"$19,910,000,000,000 ",3.076449776957391e-06,44.0,2.318516149664215,50.49900199600798,0.2186046511627907,1.3767441860465117
636,4300.0,Manufacturing,Wang Junshi & family,74.0,China,Solar inverters,Manufacturing,,1,M,Junshi,"$19,910,000,000,000 ",3.076449776957391e-06,75.0,2.318516149664215,50.49900199600798,0.2186046511627907,1.3767441860465117
636,4300.0,Technology,Wang Wenjing,58.0,China,Business software,Technology,,1,M,Wenjing,"$19,910,000,000,000 ",3.076449776957391e-06,60.0,2.318516149664215,50.49900199600798,0.2186046511627907,1.3767441860465117
636,4300.0,Finance & Investments,Herbert Wertheim,83.0,United States,Investments,Finance & Investments,,1,M,Herbert,"$21,427,700,000,000 ",1.3100189644133744e-05,85.0,6.397134083930399,86.64047151277015,0.22325581395348837,0.8511627906976744
659,4200.0,Service,Shari Arison,65.0,Israel,Carnival Cruises,Service,,0,F,Shari,"$395,098,666,122 ",0.00046391923387052237,67.0,0.7397133610725843,60.43851286939942,0.55,0.6023809523809525
659,4200.0,Finance & Investments,Pyotr Aven,68.0,Latvia,"Oil, banking, telecom",Finance & Investments,,1,M,Pyotr,"$34,117,202,555 ",0.0021957466296596228,69.0,2.396029436933082,88.63179074446678,0.5452380952380953,0.9071428571428573
659,4200.0,Real Estate,Chan Laiwa & family,82.0,China,Real estate,Real Estate,,1,F,Laiwa,"$19,910,000,000,000 ",3.0049044333072194e-06,83.0,2.318516149664215,50.49900199600798,0.22380952380952382,1.4095238095238096
659,4200.0,Real Estate,Chen Hua,57.0,China,Real estate,Real Estate,,1,M,Hua,"$19,910,000,000,000 ",3.0049044333072194e-06,58.0,2.318516149664215,50.49900199600798,0.22380952380952382,1.4095238095238096
659,4200.0,Finance & Investments,Thomas Hagen,87.0,United States,Insurance,Finance & Investments,,0,M,Thomas,"$21,427,700,000,000 ",1.2795534071014356e-05,88.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Finance & Investments,"Rupert Johnson, Jr.",82.0,United States,Franklin Templeton,Finance & Investments,Franklin Resources Inc.,0,M,Rupert,"$21,427,700,000,000 ",1.2795534071014356e-05,84.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Energy,Dewi Kam,72.0,Indonesia,Coal,Energy,,1,F,Dewi,"$1,119,190,780,753 ",1.5543816117217873e-05,74.0,1.9843894695065485,34.116541353383454,0.24285714285714283,0.7166666666666667
659,4200.0,Technology,Min Kao & family,74.0,United States,Navigation equipment,Technology,,1,M,Min,"$21,427,700,000,000 ",1.2795534071014356e-05,75.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Finance & Investments,Marc Ladreit de Lacharriere,82.0,France,Finance,Finance & Investments,,1,M,Marc,"$2,715,518,274,227 ",6.263058570319393e-05,84.0,0.9995456610631533,63.99999999999999,0.5761904761904761,1.4452380952380952
659,4200.0,Technology,Eric Lefkofsky,53.0,United States,"Groupon, investments",Technology,Groupon,1,M,Eric,"$21,427,700,000,000 ",1.2795534071014356e-05,55.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Technology,Lin Bin,55.0,China,Smartphones,Technology,,1,M,Bin,"$19,910,000,000,000 ",3.0049044333072194e-06,56.0,2.318516149664215,50.49900199600798,0.22380952380952382,1.4095238095238096
659,4200.0,Finance & Investments,Lin Li,59.0,China,Investments,Finance & Investments,,1,M,Li,"$19,910,000,000,000 ",3.0049044333072194e-06,61.0,2.318516149664215,50.49900199600798,0.22380952380952382,1.4095238095238096
659,4200.0,Technology,Michael Moritz,68.0,United States,Venture capital,Technology,Sequoia,1,M,Michael,"$21,427,700,000,000 ",1.2795534071014356e-05,70.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Service,Jean (Gigi) Pritzker,60.0,United States,"Hotels, investments",Service,,0,F,Jean (Gigi),"$21,427,700,000,000 ",1.2795534071014356e-05,62.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Automotive,E. Joe Shoen,73.0,United States,U-Haul,Automotive,,0,M,E. Joe,"$21,427,700,000,000 ",1.2795534071014356e-05,75.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Technology,Jeff Skoll,58.0,United States,EBay,Technology,,1,M,Jeff,"$21,427,700,000,000 ",1.2795534071014356e-05,59.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Food & Beverage,Lynsi Snyder,40.0,United States,In-N-Out Burger,Food & Beverage,,0,F,Lynsi,"$21,427,700,000,000 ",1.2795534071014356e-05,42.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
659,4200.0,Fashion & Retail,Djoko Susanto,73.0,Indonesia,Supermarkets,Fashion & Retail,,1,M,Djoko,"$1,119,190,780,753 ",1.5543816117217873e-05,74.0,1.9843894695065485,34.116541353383454,0.24285714285714283,0.7166666666666667
659,4200.0,Diversified,Tahir & family,71.0,Indonesia,Diversified,Diversified,,1,M,,"$1,119,190,780,753 ",1.5543816117217873e-05,72.0,1.9843894695065485,34.116541353383454,0.24285714285714283,0.7166666666666667
659,4200.0,Finance & Investments,Peter Thiel,55.0,United States,"Facebook, investments",Finance & Investments,Founders Fund,1,M,Peter,"$21,427,700,000,000 ",1.2795534071014356e-05,57.0,6.397134083930399,86.64047151277015,0.22857142857142854,0.8714285714285714
679,4100.0,Food & Beverage,Andrej Babis,68.0,Czech Republic,Agriculture,Food & Beverage,,1,M,Andrej,"$246,489,245,495 ",0.0003842654003028574,70.0,2.4038461538461537,63.65441906653425,0.3634146341463415,1.124390243902439
679,4100.0,Service,Danielle Bellon & family,83.0,France,Food services,Service,,0,F,Danielle,"$2,715,518,274,227 ",6.113938128168931e-05,84.0,0.9995456610631533,63.99999999999999,0.5902439024390244,1.480487804878049
679,4100.0,Media & Entertainment,Hubert Burda,83.0,Germany,Publishing,Media & Entertainment,,0,M,Hubert,"$3,845,630,030,824 ",4.931868106594125e-05,84.0,1.2405848471422243,67.5,0.28048780487804875,1.1902439024390243
679,4100.0,Food & Beverage,Nick Caporella,87.0,United States,Beverages,Food & Beverage,,1,M,Nick,"$21,427,700,000,000 ",1.2490878497894966e-05,88.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Energy,John Catsimatidis,74.0,United States,"Oil, real estate",Energy,,1,M,John,"$21,427,700,000,000 ",1.2490878497894966e-05,76.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Technology,Scott Cook,70.0,United States,Software,Technology,,1,M,Scott,"$21,427,700,000,000 ",1.2490878497894966e-05,72.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Food & Beverage,Luca Garavoglia,54.0,Italy,Spirits,Food & Beverage,,0,M,Luca,"$2,001,244,392,042 ",6.799630285858447e-05,55.0,0.5423973964924967,60.74582924435721,0.5926829268292683,1.4414634146341465
679,4100.0,Manufacturing,Antti Herlin,66.0,Finland,"Elevators, escalators",Manufacturing,,0,M,Antti,"$268,761,201,365 ",0.0007427113747515088,68.0,0.8902341315766047,88.02395209580838,0.5073170731707317,0.8926829268292684
679,4100.0,Manufacturing,Hong Jie,55.0,China,Paint,Manufacturing,,1,M,Jie,"$19,910,000,000,000 ",2.9333590896570476e-06,57.0,2.318516149664215,50.49900199600798,0.22926829268292687,1.4439024390243904
679,4100.0,Service,"Jeremy Jacobs, Sr. & family",83.0,United States,Food service,Service,,0,M,Jeremy,"$21,427,700,000,000 ",1.2490878497894966e-05,84.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Fashion & Retail,Igor Kesaev,56.0,Russia,"Tobacco distribution, retail",Fashion & Retail,,1,M,Igor,"$1,699,876,578,871 ",2.839855656370816e-05,58.0,2.4896265560165975,79.82456140350878,0.2780487804878049,1.126829268292683
679,4100.0,Food & Beverage,Mary Alice Dorrance Malone,73.0,United States,Campbell Soup,Food & Beverage,,0,F,Mary Alice Dorrance,"$21,427,700,000,000 ",1.2490878497894966e-05,74.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Diversified,Joao Moreira Salles,61.0,Brazil,"Banking, minerals",Diversified,,0,M,Joao,"$1,839,758,040,766 ",1.928872433819293e-05,62.0,2.2102747909199523,44.454072790294624,0.3463414634146342,1.5878048780487806
679,4100.0,Finance & Investments,Walther Moreira Salles Junior,66.0,Brazil,"Banking, minerals",Finance & Investments,,0,M,Walther,"$1,839,758,040,766 ",1.928872433819293e-05,68.0,2.2102747909199523,44.454072790294624,0.3463414634146342,1.5878048780487806
679,4100.0,Sports,Arturo Moreno,76.0,United States,"Billboards, Los Angeles Angels",Sports,,1,M,Arturo,"$21,427,700,000,000 ",1.2490878497894966e-05,78.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Manufacturing,Peter Spuhler,63.0,Switzerland,Train cars,Manufacturing,,1,M,Peter,"$703,082,435,360 ",0.0004781434784961385,65.0,0.4018081366147665,56.65399239543726,0.24634146341463414,0.702439024390244
679,4100.0,Real Estate,Donald Sterling,88.0,United States,Real estate,Real Estate,,1,M,Donald,"$21,427,700,000,000 ",1.2490878497894966e-05,90.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Diversified,Kerry Stokes,82.0,Australia,"Construction equipment, media",Diversified,,1,M,Kerry,"$1,392,680,589,329 ",0.00015912069129790285,84.0,1.335559265442404,112.7617148554337,0.5609756097560975,1.1560975609756097
679,4100.0,Technology,Ken Xie,60.0,United States,Cybersecurity,Technology,,1,M,Ken,"$21,427,700,000,000 ",1.2490878497894966e-05,61.0,6.397134083930399,86.64047151277015,0.23414634146341462,0.8926829268292684
679,4100.0,Healthcare,Liangzhi Xie & family,57.0,China,Biotech,Healthcare,,1,M,Liangzhi,"$19,910,000,000,000 ",2.9333590896570476e-06,58.0,2.318516149664215,50.49900199600798,0.22926829268292687,1.4439024390243904
699,4000.0,Energy,Sid Bass,80.0,United States,"Oil, investments",Energy,,0,M,Sid,"$21,427,700,000,000 ",1.2186222924775576e-05,82.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Technology,Ben Chestnut,48.0,United States,Email marketing,Technology,,1,M,Ben,"$21,427,700,000,000 ",1.2186222924775576e-05,50.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Food & Beverage,Elisabeth DeLuca & family,75.0,United States,Subway,Food & Beverage,,0,F,Elisabeth,"$21,427,700,000,000 ",1.2186222924775576e-05,77.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Diversified,Guangchang Guo,56.0,China,Conglomerate,Diversified,,1,M,Guangchang,"$19,910,000,000,000 ",2.8618137460068753e-06,57.0,2.318516149664215,50.49900199600798,0.23500000000000001,1.48
699,4000.0,Manufacturing,Vinod Rai Gupta,77.0,India,Electrical equipment,Manufacturing,,0,F,Vinod Rai,"$2,611,000,000,000 ",2.927362432382447e-06,79.0,4.267346486366659,24.867256637168143,0.27999999999999997,1.2425
699,4000.0,Sports,John Henry,73.0,United States,Sports,Sports,,1,M,John,"$21,427,700,000,000 ",1.2186222924775576e-05,75.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Technology,Travis Kalanick,46.0,United States,Uber,Technology,Uber Technologies Inc.,1,M,Travis,"$21,427,700,000,000 ",1.2186222924775576e-05,48.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Manufacturing,Koon Poh Keong,61.0,Malaysia,Aluminum,Manufacturing,,1,M,Poh Keong,"$364,701,517,788 ",0.0001232764982447738,63.0,0.5763214226905977,42.83000949667616,0.3,0.9675000000000001
699,4000.0,Technology,Dan Kurzius,51.0,United States,Email marketing,Technology,,1,M,Dan,"$21,427,700,000,000 ",1.2186222924775576e-05,53.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Manufacturing,Paul Lee,65.0,China,Battery separators,Manufacturing,,1,M,Paul,"$19,910,000,000,000 ",2.8618137460068753e-06,66.0,2.318516149664215,50.49900199600798,0.23500000000000001,1.48
699,4000.0,Technology,Tobi Lutke,42.0,Canada,E-commerce,Technology,,1,M,Tobi,"$1,736,425,629,520 ",0.00010813154342829058,44.0,1.6272696128811235,68.28543111992072,0.32,0.6125
699,4000.0,Automotive,Gail Miller,79.0,United States,Car dealerships,Automotive,,1,F,Gail,"$21,427,700,000,000 ",1.2186222924775576e-05,81.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Telecom,Rajan Mittal,63.0,India,Telecom,Telecom,,0,M,Rajan,"$2,611,000,000,000 ",2.927362432382447e-06,64.0,4.267346486366659,24.867256637168143,0.27999999999999997,1.2425
699,4000.0,Telecom,Rakesh Mittal,67.0,India,Telecom,Telecom,,0,M,Rakesh,"$2,611,000,000,000 ",2.927362432382447e-06,69.0,4.267346486366659,24.867256637168143,0.27999999999999997,1.2425
699,4000.0,Media & Entertainment,Isaac Perlmutter,80.0,United States,Marvel comics,Media & Entertainment,Marvel Entertainment,1,M,Isaac,"$21,427,700,000,000 ",1.2186222924775576e-05,82.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Finance & Investments,"Bernard Saul, II.",90.0,United States,"Banking, real estate",Finance & Investments,Saul Centers,0,M,Bernard,"$21,427,700,000,000 ",1.2186222924775576e-05,92.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Telecom,Shaul Shani,68.0,Italy,Telecom,Telecom,,1,M,Shaul,"$2,001,244,392,042 ",6.633785644739949e-05,69.0,0.5423973964924967,60.74582924435721,0.6075,1.4775
699,4000.0,Media & Entertainment,Steven Spielberg,76.0,United States,Movies,Media & Entertainment,,1,M,Steven,"$21,427,700,000,000 ",1.2186222924775576e-05,78.0,6.397134083930399,86.64047151277015,0.24,0.915
699,4000.0,Healthcare,Jerzy Starak,75.0,Poland,Pharmaceuticals,Healthcare,,1,M,Jerzy,"$592,164,400,688 ",0.0001053439012228162,77.0,1.927964245026729,67.8,0.43499999999999994,1.0199999999999998
699,4000.0,Energy,Torbjorn Tornqvist,69.0,Switzerland,Oil trading,Energy,,1,M,Torbjorn,"$703,082,435,360 ",0.00046648144243525703,71.0,0.4018081366147665,56.65399239543726,0.2525,0.72
699,4000.0,Metals & Mining,Rufino Vigil Gonzalez,74.0,Mexico,Steel,Metals & Mining,,1,M,Rufino,"$1,258,286,717,125 ",3.1742498755535335e-05,76.0,2.5434506146672318,37.99621928166352,0.32749999999999996,1.3775000000000002
699,4000.0,Diversified,Zhang Daocai,73.0,China,Valves,Diversified,,1,M,Daocai,"$19,910,000,000,000 ",2.8618137460068753e-06,74.0,2.318516149664215,50.49900199600798,0.23500000000000001,1.48
721,3900.0,Manufacturing,Juergen Blickle,76.0,Germany,Auto parts,Manufacturing,,0,M,Juergen,"$3,845,630,030,824 ",4.6912891745651436e-05,77.0,1.2405848471422243,67.5,0.2948717948717949,1.2512820512820513
721,3900.0,Food & Beverage,"Austen Cargill, II.",72.0,United States,Cargill,Food & Beverage,,0,M,Austen,"$21,427,700,000,000 ",1.1881567351656187e-05,73.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Food & Beverage,"James Cargill, II.",73.0,United States,Cargill,Food & Beverage,,0,M,James,"$21,427,700,000,000 ",1.1881567351656187e-05,75.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Finance & Investments,Vanich Chaiyawan,91.0,Thailand,"Insurance, beverages",Finance & Investments,,1,M,Vanich,"$543,649,976,166 ",5.601389443322714e-05,92.0,0.6179924075218504,49.39879759519038,0.3820512820512821,0.7564102564102564
721,3900.0,Finance & Investments,Chen Dongsheng,65.0,China,Insurance,Finance & Investments,,1,M,Dongsheng,"$19,910,000,000,000 ",2.7902684023567035e-06,67.0,2.318516149664215,50.49900199600798,0.24102564102564103,1.517948717948718
721,3900.0,Automotive,Mong-Koo Chung,85.0,South Korea,Hyundai,Automotive,,0,M,Mong-Koo,"$2,029,000,000,000 ",7.542193058560023e-05,86.0,0.34734282737061484,96.1264016309888,0.4,0.8512820512820515
721,3900.0,Finance & Investments,Kenneth Dart,67.0,Cayman Islands,Investments,Finance & Investments,,0,M,Kenneth,,,69.0,,,,
721,3900.0,Fashion & Retail,Giuseppe De'Longhi & family,83.0,Italy,Coffee makers,Fashion & Retail,,0,M,Giuseppe,"$2,001,244,392,042 ",6.46794100362145e-05,85.0,0.5423973964924967,60.74582924435721,0.6230769230769231,1.5153846153846156
721,3900.0,Healthcare,Guenther Fielmann & family,83.0,Germany,Optometry,Healthcare,,1,M,Guenther,"$3,845,630,030,824 ",4.6912891745651436e-05,85.0,1.2405848471422243,67.5,0.2948717948717949,1.2512820512820513
721,3900.0,Energy,W. Herbert Hunt,94.0,United States,Oil,Energy,,0,M,W. Herbert,"$21,427,700,000,000 ",1.1881567351656187e-05,95.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Sports,James Irsay,63.0,United States,Indianapolis Colts,Sports,Indianapolis Colts,0,M,James,"$21,427,700,000,000 ",1.1881567351656187e-05,65.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Diversified,Somurai Jaruphnit,,Thailand,Diversified,Diversified,,0,F,Somurai,"$543,649,976,166 ",5.601389443322714e-05,,0.6179924075218504,49.39879759519038,0.3820512820512821,0.7564102564102564
721,3900.0,Food & Beverage,Marianne Liebmann,69.0,United States,Cargill,Food & Beverage,,0,F,Marianne,"$21,427,700,000,000 ",1.1881567351656187e-05,71.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Healthcare,Jorge Moll Filho & family,78.0,Brazil,Hospitals,Healthcare,,1,M,Jorge,"$1,839,758,040,766 ",1.8347810955842056e-05,79.0,2.2102747909199523,44.454072790294624,0.3641025641025641,1.669230769230769
721,3900.0,Diversified,Fernando Roberto Moreira Salles,76.0,Brazil,"Banking, minerals",Diversified,,0,M,Fernando Roberto,"$1,839,758,040,766 ",1.8347810955842056e-05,78.0,2.2102747909199523,44.454072790294624,0.3641025641025641,1.669230769230769
721,3900.0,Diversified,Pedro Moreira Salles,63.0,Brazil,"Banking, minerals",Diversified,,0,M,Pedro,"$1,839,758,040,766 ",1.8347810955842056e-05,65.0,2.2102747909199523,44.454072790294624,0.3641025641025641,1.669230769230769
721,3900.0,Gambling & Casinos,Gabe Newell,60.0,United States,Videogames,Gambling & Casinos,Valve Corporation,1,M,Gabe,"$21,427,700,000,000 ",1.1881567351656187e-05,62.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Fashion & Retail,Alfred Oetker,56.0,Germany,Consumer goods,Fashion & Retail,,0,M,Alfred,"$3,845,630,030,824 ",4.6912891745651436e-05,57.0,1.2405848471422243,67.5,0.2948717948717949,1.2512820512820513
721,3900.0,Fashion & Retail,Carl Ferdinand Oetker,50.0,Germany,Consumer goods,Fashion & Retail,,0,M,Carl Ferdinand,"$3,845,630,030,824 ",4.6912891745651436e-05,52.0,1.2405848471422243,67.5,0.2948717948717949,1.2512820512820513
721,3900.0,Fashion & Retail,Julia Oetker,44.0,Germany,Consumer goods,Fashion & Retail,,0,F,Julia,"$3,845,630,030,824 ",4.6912891745651436e-05,45.0,1.2405848471422243,67.5,0.2948717948717949,1.2512820512820513
721,3900.0,Manufacturing,Ruan Hongliang & family,62.0,China,Glass,Manufacturing,,1,M,Hongliang,"$19,910,000,000,000 ",2.7902684023567035e-06,63.0,2.318516149664215,50.49900199600798,0.24102564102564103,1.517948717948718
721,3900.0,Finance & Investments,Mark Stevens,63.0,United States,Venture capital,Finance & Investments,,1,M,Mark,"$21,427,700,000,000 ",1.1881567351656187e-05,64.0,6.397134083930399,86.64047151277015,0.24615384615384617,0.9384615384615386
721,3900.0,Finance & Investments,Tsai Hong-tu,70.0,Taiwan,Finance,Finance & Investments,,0,M,Hong-tu,,,72.0,,,,
721,3900.0,Food & Beverage,Nusli Wadia,79.0,India,Consumer goods,Food & Beverage,,0,M,Nusli,"$2,611,000,000,000 ",2.8541783715728858e-06,80.0,4.267346486366659,24.867256637168143,0.28717948717948716,1.2743589743589745
721,3900.0,Healthcare,Wu Yiling,73.0,China,Pharmaceuticals,Healthcare,,1,M,Yiling,"$19,910,000,000,000 ",2.7902684023567035e-06,75.0,2.318516149664215,50.49900199600798,0.24102564102564103,1.517948717948718
721,3900.0,Manufacturing,Yu Renrong,57.0,China,Semiconductors,Manufacturing,,1,M,Renrong,"$19,910,000,000,000 ",2.7902684023567035e-06,58.0,2.318516149664215,50.49900199600798,0.24102564102564103,1.517948717948718
721,3900.0,Healthcare,Zhu Baoguo & family,60.0,China,Pharmaceuticals,Healthcare,,1,M,Baoguo,"$19,910,000,000,000 ",2.7902684023567035e-06,62.0,2.318516149664215,50.49900199600798,0.24102564102564103,1.517948717948718
748,3800.0,Service,Rahul Bhatia,63.0,India,Aviation,Service,,0,M,Rahul,"$2,611,000,000,000 ",2.7809943107633245e-06,65.0,4.267346486366659,24.867256637168143,0.29473684210526313,1.3078947368421052
748,3800.0,Construction & Engineering,Francesco Gaetano Caltagirone,80.0,Italy,"Cement, diversified",Construction & Engineering,,1,M,Francesco Gaetano,"$2,001,244,392,042 ",6.30209636250295e-05,81.0,0.5423973964924967,60.74582924435721,0.6394736842105263,1.555263157894737
748,3800.0,Media & Entertainment,Barry Diller,81.0,United States,Online media,Media & Entertainment,,1,M,Barry,"$21,427,700,000,000 ",1.1576911778536797e-05,82.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Finance & Investments,Wesley Edens,61.0,United States,Investments,Finance & Investments,,1,M,Wesley,"$21,427,700,000,000 ",1.1576911778536797e-05,63.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Finance & Investments,Stephen Feinberg,63.0,United States,Private equity,Finance & Investments,Cerberus Capital Management,1,M,Stephen,"$21,427,700,000,000 ",1.1576911778536797e-05,64.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Service,Rakesh Gangwal,69.0,United States,Airline,Service,,1,M,Rakesh,"$21,427,700,000,000 ",1.1576911778536797e-05,71.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Food & Beverage,Joseph Grendys,61.0,United States,Poultry processing,Food & Beverage,,1,M,Joseph,"$21,427,700,000,000 ",1.1576911778536797e-05,63.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Media & Entertainment,Martha Ingram & family,87.0,United States,"Book distribution, transportation",Media & Entertainment,"Ingram Industries, Inc.",0,F,Martha,"$21,427,700,000,000 ",1.1576911778536797e-05,89.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Automotive,Li Xiang,41.0,China,Electric vehicles,Automotive,,1,M,Xiang,"$19,910,000,000,000 ",2.7187230587065317e-06,43.0,2.318516149664215,50.49900199600798,0.2473684210526316,1.5578947368421052
748,3800.0,Real Estate,"H. Ross Perot, Jr.",64.0,United States,Real estate,Real Estate,,0,M,H. Ross,"$21,427,700,000,000 ",1.1576911778536797e-05,66.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
748,3800.0,Real Estate,Chandru Raheja,82.0,India,Real estate,Real Estate,,0,M,Chandru,"$2,611,000,000,000 ",2.7809943107633245e-06,84.0,4.267346486366659,24.867256637168143,0.29473684210526313,1.3078947368421052
748,3800.0,Energy,Trevor Rees-Jones,71.0,United States,Oil & gas,Energy,,1,M,Trevor,"$21,427,700,000,000 ",1.1576911778536797e-05,73.0,6.397134083930399,86.64047151277015,0.25263157894736843,0.9631578947368422
